ano,trimestre,departamento,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2019,1,MAGDALENA,GUAMAL,63340210,48167739,58470500,169978449
2019,1,MAGDALENA,EL BANCO,151646789,114230319,139858488,405735596
2019,1,HUILA,YAGUARA,40719308.15,38350657.95,42079187.16,121149153.2
2019,1,HUILA,TESALIA,7949538.917,7993541.758,8758600.749,24701681.42
2019,1,HUILA,RIVERA,4244120.579,3601652.771,3987698.602,11833471.95
2019,1,HUILA,PALERMO,36030889.28,33191327.86,36436008.5,105658225.6
2019,1,HUILA,HOBO,1171884.04,994486.2128,1101080.957,3267451.211
2019,1,HUILA,CAMPOALEGRE,8013153.033,6800135.455,7529013.033,22342301.52
2019,1,CUNDINAMARCA,PARATEBUENO,172208023,152959257,173141336,498308616
2019,1,CUNDINAMARCA,GUADUAS,80974917,73953704,88657581,243586202
2019,1,CUNDINAMARCA,CAPARRAPI,4199598,3835457,4598043,12633098
2019,1,CORDOBA,TUCHIN,67925330,62972337,67831339,198729006
2019,1,CORDOBA,SAN ANDRES DE SOTAVENTO,212724860,197220469,212438432,622383761
2019,1,CORDOBA,SAHAGUN,331529640,307377568,331095904,970003112
2019,1,CORDOBA,PURÍSIMA,23691520,21961737,23656245,69309502
2019,1,CORDOBA,PLANETA RICA,135257583,125400130,135076306,395734019
2019,1,CORDOBA,MOMIL,75325052,69835007,75223629,220383688
2019,1,CORDOBA,LA APARTADA,103354300,95813010,103205854,302373164
2019,1,CORDOBA,CHINU,40199942,37264672,40139907,117604521
2019,1,CORDOBA,BUENAVISTA,217351807,201510940,217059994,635922741
2019,1,CESAR,TAMALAMEQUE,102284538,77095384,94338733,273718655
2019,1,CESAR,SAN ALBERTO,47880693,39408369,36837686,124126748
2019,1,CESAR,RIO DE ORO,20452370,16828595,15735586,53016551
2019,1,CESAR,PELAYA,49265955,37798619,45512447,132577021
2019,1,CESAR,PAILITAS,4752019,4369440,4470065,13591524
2019,1,CESAR,LA GLORIA,89086844,71340328,73389914,233817086
2019,1,CESAR,GAMARRA,41748329,34358265,32124139,108230733
2019,1,CESAR,CHIMICHAGUA,12297843,11307757,11568168,35173768
2019,1,CESAR,AGUACHICA,123443355,101563910,94980569,319987834
2019,1,CAUCA,PIAMONTE,753366,704126,692067,2149559
2019,1,CASANARE,TRINIDAD,29635462.03,26166688.88,32166990.2,87969141.12
2019,1,CASANARE,SAN LUIS DE PALENQUE,36527652.44,31908316.18,39086795.77,107522764.4
2019,1,CASANARE,SABANALARGA,354969044,309957315,354757274.4,1019683633
2019,1,CASANARE,PORE,36560058.19,49699013.74,42061251.63,128320323.6
2019,1,CASANARE,PAZ DE ARIPORO,46322803.4,62970294.6,53292997.47,162586095.5
2019,1,CASANARE,NUNCHIA,75753272.3,95877538.31,85987475.14,257618285.8
2019,1,CASANARE,MONTEREY,1515234323,1345621263,1467255640,4328111226
2019,1,CASANARE,MANI,92450612.81,83149282.54,56581658.04,232181553.4
2019,1,CASANARE,HATO COROZAL,101106293,137441876.7,116319759.3,354867929
2019,1,CALDAS,LA DORADA,149885657,142906996,157041948,449834601
2019,1,BOYACA,ZETAQUIRA,218512168.6,189740779.5,214171774,622424722.1
2019,1,BOYACA,VILLA DE LEYVA,187724319.6,163005926.2,183994892.1,534725138
2019,1,BOYACA,VENTAQUEMADA,76004362.29,65996923.45,74494669.43,216495955.2
2019,1,BOYACA,TUNUNGUA,74356.4811,74571.3023,79957.36861,228885.152
2019,1,BOYACA,SUTAMARCHAN,11779117.54,10227960.72,11544998.16,33552076.42
2019,1,BOYACA,SAN SOFIA,247006138.7,214481938,242099031.4,703587108.2
2019,1,BOYACA,SAN LUIS DE GACENO,37999286.05,32995558.77,37244222.59,108239067.4
2019,1,BOYACA,SAMACA,218508557,189737157.5,214167890.4,622413604.8
2019,1,BOYACA,SACHICA,133004221.8,115491193.3,130362002.3,378857417.4
2019,1,BOYACA,RAMIRIQUI,161509122.4,140243313.8,158301014.4,460053450.6
2019,1,BOYACA,PAUNA,4248.941777,4261.217274,4568.992492,13079.15154
2019,1,BOYACA,PAEZ,209006809.2,181486336.7,204854764.2,595347910
2019,1,BOYACA,OTANCHE,521124102.3,452549005.4,510801847.6,1484474955
2019,1,BOYACA,MONIQUIRA,47498187.08,41243523.56,46554286.59,135295997.2
2019,1,BOYACA,MIRAFLORES,370508899.6,321722599.1,363148216.9,1055379716
2019,1,BOYACA,JENESANO,256506111.6,222730979.8,251410250.1,730647341.5
2019,1,BOYACA,CUBARA,21494437.98,18440136.06,15241097.01,55175671.04
2019,1,BOYACA,CHIQUINQUIRÁ,57360.71399,57526.4332,61681.39864,176568.5458
2019,1,BOYACA,CAMPOHERMOSO,209011398,181490938.8,204859698.7,595362035.5
2019,1,BOYACA,CALDAS,42489.41777,42612.17274,45689.92492,130791.5154
2019,1,BOYACA,BRICEÑO,116845.8989,117183.475,125647.2935,359676.6674
2019,1,BOYACA,BOYACA,57001877.79,49496293.88,55869503.12,162367674.8
2019,1,BOLIVAR,TURBANA,44807360,41743619,45437773,131988752
2019,1,BOLIVAR,TALAIGUA NUEVO,27381069,20559883,25245362,73186314
2019,1,BOLIVAR,MOMPOS,63905516,47985342,58920923,170811781
2019,1,BOLIVAR,MARIA LA BAJA,75113098,69977176,76169895,221260169
2019,1,BOLIVAR,MAGANGUE,77789416,58997058,71786824,208573298
2019,1,BOLIVAR,CORDOBA,3001021,2759412,2822960,8583393
2019,1,BOLIVAR,CICUCO,57425598,43119704,52946436,153491738
2019,1,BOLIVAR,CARTAGENA,21932565,20432908,22241144,64606617
2019,1,ARAUCA,TAME,97345541.78,138800331.1,112964591.3,349110464.2
2019,1,ARAUCA,SARAVENA,393096228.6,304265172.2,429913575.8,1127274977
2019,1,ARAUCA,FORTUL,33610286.62,47923291.69,39003041.89,120536620.2
2019,1,ANTIOQUIA,ZARAGOZA,388274302,359980346,387757410,1136012058
2019,1,ANTIOQUIA,SONSON,26394702,25176010,27741972,79312684
2019,1,ANTIOQUIA,SEGOVIA,170219349,157812201,169989310,498020860
2019,1,ANTIOQUIA,REMEDIOS,473572204,439056786,472935398,1385564388
2019,1,ANTIOQUIA,PUERTO TRIUNFO,52804275,50345059,55360418,158509752
2019,1,ANTIOQUIA,PUERTO NARE,52969998,49281918,52333741,154585657
2019,1,ANTIOQUIA,PUERTO BERRIO,401146972,371917070,400615278,1173679320
2019,1,ANTIOQUIA,CAUCASIA,449683381,416915917,449086336,1315685634
2019,2,TOLIMA,VENADILLO,26886477,27334509,25905489,80126475
2019,2,TOLIMA,SANDAÑA,27969865,28595915,27075826,83641606
2019,2,TOLIMA,SAN LUIS,1537377,1565944,1477687,4581008
2019,2,TOLIMA,PURIFICACIÓN,1477475,1553542,1507928,4538945
2019,2,TOLIMA,PIEDRAS,21966076,22332116,21164614,65462806
2019,2,TOLIMA,NATAGAIMA,44197210,44932086,42324670,131453966
2019,2,TOLIMA,MARIQUIRTA,39237610,39881315,36122097,115241022
2019,2,TOLIMA,LERIDA,38534947,39171298,36168118,113874363
2019,2,TOLIMA,IBAGUE,28468034,28942422,27429341,84839797
2019,2,TOLIMA,HONDA,20202518,20532650,18383256,59118424
2019,2,TOLIMA,GUAYABAL,42560949,43257022,38824353,124642324
2019,2,TOLIMA,GUAMO,40391075,41141628,38822865,120355568
